Datum,Nachricht
2022-03-25T19:00:00.000+01:00,XAUUSD 120 bar#716 | ADX BLOCK: chart=19.4 daily=43 threshold=20
2022-03-28T10:00:00.000+02:00,XAUUSD 120 bar#723 | ADX PASS: chart=20.9 daily=42.3
2022-03-30T12:00:00.000+02:00,XAUUSD 120 bar#748 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-03-30T12:00:00.000+02:00,XAUUSD 120 bar#748 | waiting=true (Long)
2022-03-30T12:00:00.000+02:00,XAUUSD 120 bar#748 | PENDING Long: entry=1928.33 sl=1922.13
2022-03-30T12:00:00.000+02:00,XAUUSD 120 bar#748 | QTY CAPPED: 16.116 → 5.1858 (equity=10000 lev=1)
2022-03-30T12:00:00.000+02:00,XAUUSD 120 bar#748 | ENTRY Long: stop=1928.34 sl=1922.13 qty=5.1858
2022-03-30T14:00:00.000+02:00,"XAUUSD 120 bar#749 | FILL: Position offen, trail_sl=1922.13"
2022-03-30T14:00:00.000+02:00,XAUUSD 120 bar#749 | PARTIAL Long: 50%
2022-03-30T14:00:00.000+02:00,XAUUSD 120 bar#749 | BREAKEVEN Long: sl=1928.33
2022-03-31T02:00:00.000+02:00,XAUUSD 120 bar#755 | ADX BLOCK: chart=19.4 daily=35.2 threshold=20
2022-04-04T04:00:00.000+02:00,XAUUSD 120 bar#780 | ADX PASS: chart=21 daily=31.8
2022-04-04T10:00:00.000+02:00,XAUUSD 120 bar#783 | ADX BLOCK: chart=19.9 daily=31.8 threshold=20
2022-04-11T00:00:00.000+02:00,XAUUSD 120 bar#838 | ADX PASS: chart=22.2 daily=25.9
2022-04-19T06:00:00.000+02:00,XAUUSD 120 bar#901 | ADX BLOCK: chart=20 daily=28.5 threshold=20
2022-04-19T18:00:00.000+02:00,XAUUSD 120 bar#907 | ADX PASS: chart=22 daily=28.5
2022-04-20T20:00:00.000+02:00,XAUUSD 120 bar#920 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-04-20T20:00:00.000+02:00,XAUUSD 120 bar#920 | waiting=true (Long)
2022-04-21T20:00:00.000+02:00,XAUUSD 120 bar#932 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2022-04-22T02:00:00.000+02:00,XAUUSD 120 bar#935 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-05-06T04:00:00.000+02:00,XAUUSD 120 bar#1056 | ADX BLOCK: chart=19.9 daily=22.1 threshold=20
2022-05-09T20:00:00.000+02:00,XAUUSD 120 bar#1076 | ADX PASS: chart=20.6 daily=21.4
2022-05-10T08:00:00.000+02:00,XAUUSD 120 bar#1082 | ADX BLOCK: chart=19.6 daily=21.1 threshold=20
2022-05-10T16:00:00.000+02:00,XAUUSD 120 bar#1086 | ADX PASS: chart=20.5 daily=21.1
2022-05-18T18:00:00.000+02:00,XAUUSD 120 bar#1159 | ADX BLOCK: chart=19.9 daily=25.9 threshold=20
2022-05-19T16:00:00.000+02:00,XAUUSD 120 bar#1170 | ADX PASS: chart=20.3 daily=26.8
2022-05-24T12:00:00.000+02:00,XAUUSD 120 bar#1204 | ADX BLOCK: chart=19.7 daily=24.6 threshold=20
2022-05-24T16:00:00.000+02:00,XAUUSD 120 bar#1206 | ADX PASS: chart=20.2 daily=24.6
2022-05-25T02:00:00.000+02:00,XAUUSD 120 bar#1211 | ADX BLOCK: chart=19 daily=23.3 threshold=20
2022-05-25T18:00:00.000+02:00,XAUUSD 120 bar#1219 | ADX PASS: chart=21.3 daily=23.3
2022-05-27T04:00:00.000+02:00,XAUUSD 120 bar#1236 | ADX BLOCK: chart=19.4 daily=21.6 threshold=20
2022-05-31T22:00:00.000+02:00,XAUUSD 120 bar#1268 | ADX PASS: chart=20.7 daily=18.8
2022-06-02T04:00:00.000+02:00,XAUUSD 120 bar#1283 | ADX BLOCK: chart=19.8 daily=18.6 threshold=20
2022-06-02T10:00:00.000+02:00,XAUUSD 120 bar#1286 | ADX PASS: chart=20.1 daily=18.6
2022-06-06T12:00:00.000+02:00,XAUUSD 120 bar#1311 | ADX BLOCK: chart=19.8 daily=16.2 threshold=20
2022-06-06T16:00:00.000+02:00,XAUUSD 120 bar#1313 | ADX PASS: chart=20.2 daily=16.2
2022-06-07T20:00:00.000+02:00,XAUUSD 120 bar#1327 | ADX BLOCK: chart=19.1 daily=15.3 threshold=20
2022-06-13T18:00:00.000+02:00,XAUUSD 120 bar#1374 | ADX PASS: chart=20.5 daily=13
2022-06-17T06:00:00.000+02:00,XAUUSD 120 bar#1416 | ADX BLOCK: chart=19.9 daily=11.3 threshold=20
2022-07-05T18:00:00.000+02:00,XAUUSD 120 bar#1564 | ADX PASS: chart=21.4 daily=10.7
2022-07-11T16:00:00.000+02:00,XAUUSD 120 bar#1611 | ADX BLOCK: chart=19.5 daily=20.4 threshold=20
2022-07-13T00:00:00.000+02:00,XAUUSD 120 bar#1627 | ADX PASS: chart=20.1 daily=23.9
2022-07-18T16:00:00.000+02:00,XAUUSD 120 bar#1671 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-07-18T16:00:00.000+02:00,XAUUSD 120 bar#1671 | waiting=true (Short)
2022-07-19T00:00:00.000+02:00,XAUUSD 120 bar#1675 | ADX BLOCK: chart=19 daily=31.5 threshold=20
2022-07-19T22:00:00.000+02:00,XAUUSD 120 bar#1686 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-07-21T06:00:00.000+02:00,XAUUSD 120 bar#1702 | ADX PASS: chart=21.6 daily=34.2
2022-07-25T14:00:00.000+02:00,XAUUSD 120 bar#1730 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-07-25T14:00:00.000+02:00,XAUUSD 120 bar#1730 | waiting=true (Short)
2022-07-26T10:00:00.000+02:00,XAUUSD 120 bar#1740 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-07-26T14:00:00.000+02:00,XAUUSD 120 bar#1742 | ADX BLOCK: chart=19.1 daily=35.8 threshold=20
2022-07-26T20:00:00.000+02:00,XAUUSD 120 bar#1745 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-07-28T04:00:00.000+02:00,XAUUSD 120 bar#1761 | ADX PASS: chart=20.7 daily=35
2022-08-02T18:00:00.000+02:00,XAUUSD 120 bar#1804 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-08-02T18:00:00.000+02:00,XAUUSD 120 bar#1804 | waiting=true (Short)
2022-08-03T08:00:00.000+02:00,XAUUSD 120 bar#1811 | ADX BLOCK: chart=19 daily=28.1 threshold=20
2022-08-04T00:00:00.000+02:00,XAUUSD 120 bar#1819 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-08-05T02:00:00.000+02:00,XAUUSD 120 bar#1832 | ADX PASS: chart=20.5 daily=26.6
2022-08-09T04:00:00.000+02:00,XAUUSD 120 bar#1857 | ADX BLOCK: chart=19.8 daily=26.2 threshold=20
2022-08-09T18:00:00.000+02:00,XAUUSD 120 bar#1864 | ADX PASS: chart=20 daily=26.2
2022-08-10T06:00:00.000+02:00,XAUUSD 120 bar#1870 | ADX BLOCK: chart=19.9 daily=26.5 threshold=20
2022-08-10T16:00:00.000+02:00,XAUUSD 120 bar#1875 | ADX PASS: chart=21.9 daily=26.5
2022-08-11T04:00:00.000+02:00,XAUUSD 120 bar#1881 | ADX BLOCK: chart=19.9 daily=27 threshold=20
2022-08-15T16:00:00.000+02:00,XAUUSD 120 bar#1911 | ADX PASS: chart=20.2 daily=27.5
2022-08-26T08:00:00.000+02:00,XAUUSD 120 bar#2015 | ADX BLOCK: chart=19.3 daily=19.8 threshold=20
2022-08-26T12:00:00.000+02:00,XAUUSD 120 bar#2017 | ADX PASS: chart=20 daily=19.8
2022-08-26T14:00:00.000+02:00,XAUUSD 120 bar#2018 | ADX BLOCK: chart=19.7 daily=19.8 threshold=20
2022-08-26T16:00:00.000+02:00,XAUUSD 120 bar#2019 | ADX PASS: chart=20.9 daily=19.8
2022-08-30T10:00:00.000+02:00,XAUUSD 120 bar#2040 | ADX BLOCK: chart=18.9 daily=20.1 threshold=20
2022-08-30T22:00:00.000+02:00,XAUUSD 120 bar#2046 | ADX PASS: chart=20.5 daily=20.5
2022-09-05T18:00:00.000+02:00,XAUUSD 120 bar#2092 | ADX BLOCK: chart=19.6 daily=24 threshold=20
2022-09-06T02:00:00.000+02:00,XAUUSD 120 bar#2095 | ADX PASS: chart=20.1 daily=24.9
2022-09-06T10:00:00.000+02:00,XAUUSD 120 bar#2099 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-09-06T10:00:00.000+02:00,XAUUSD 120 bar#2099 | waiting=true (Short)
2022-09-06T14:00:00.000+02:00,XAUUSD 120 bar#2101 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-09-06T22:00:00.000+02:00,XAUUSD 120 bar#2105 | ADX BLOCK: chart=20 daily=24.8 threshold=20
2022-09-07T06:00:00.000+02:00,XAUUSD 120 bar#2109 | ADX PASS: chart=20.1 daily=24.8
2022-09-07T08:00:00.000+02:00,XAUUSD 120 bar#2110 | ADX BLOCK: chart=18.7 daily=24.8 threshold=20
2022-09-07T16:00:00.000+02:00,XAUUSD 120 bar#2114 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-09-08T06:00:00.000+02:00,XAUUSD 120 bar#2121 | ADX PASS: chart=20.2 daily=25.2
2022-09-08T14:00:00.000+02:00,XAUUSD 120 bar#2125 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-09-08T14:00:00.000+02:00,XAUUSD 120 bar#2125 | waiting=true (Short)
2022-09-08T20:00:00.000+02:00,XAUUSD 120 bar#2128 | ADX BLOCK: chart=19.1 daily=25.2 threshold=20
2022-09-09T08:00:00.000+02:00,XAUUSD 120 bar#2134 | ADX PASS: chart=20.5 daily=24.8
2022-09-09T14:00:00.000+02:00,XAUUSD 120 bar#2137 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-09-09T16:00:00.000+02:00,XAUUSD 120 bar#2138 | ADX BLOCK: chart=19.4 daily=24.8 threshold=20
2022-09-09T20:00:00.000+02:00,XAUUSD 120 bar#2140 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-09-12T18:00:00.000+02:00,XAUUSD 120 bar#2151 | ADX PASS: chart=21 daily=24.4
2022-09-13T04:00:00.000+02:00,XAUUSD 120 bar#2156 | ADX BLOCK: chart=19.8 daily=23.6 threshold=20
2022-09-13T14:00:00.000+02:00,XAUUSD 120 bar#2161 | ADX PASS: chart=20.6 daily=23.6
2022-09-20T10:00:00.000+02:00,XAUUSD 120 bar#2219 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-09-20T10:00:00.000+02:00,XAUUSD 120 bar#2219 | waiting=true (Short)
2022-09-20T12:00:00.000+02:00,XAUUSD 120 bar#2220 | ADX BLOCK: chart=19.3 daily=28.1 threshold=20
2022-09-20T18:00:00.000+02:00,XAUUSD 120 bar#2223 | ADX PASS: chart=20.2 daily=28.1
2022-09-21T02:00:00.000+02:00,XAUUSD 120 bar#2227 | ADX BLOCK: chart=19.9 daily=29.4 threshold=20
2022-09-21T16:00:00.000+02:00,XAUUSD 120 bar#2234 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-09-23T02:00:00.000+02:00,XAUUSD 120 bar#2251 | ADX PASS: chart=20.1 daily=30.2
2022-09-23T04:00:00.000+02:00,XAUUSD 120 bar#2252 | ADX BLOCK: chart=20 daily=30.2 threshold=20
2022-09-23T12:00:00.000+02:00,XAUUSD 120 bar#2256 | ADX PASS: chart=20.1 daily=30.2
2022-09-29T14:00:00.000+02:00,XAUUSD 120 bar#2305 | ADX BLOCK: chart=19.9 daily=33.8 threshold=20
2022-09-29T16:00:00.000+02:00,XAUUSD 120 bar#2306 | ADX PASS: chart=20.1 daily=33.8
2022-10-03T10:00:00.000+02:00,XAUUSD 120 bar#2327 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-10-03T10:00:00.000+02:00,XAUUSD 120 bar#2327 | waiting=true (Short)
2022-10-04T16:00:00.000+02:00,XAUUSD 120 bar#2342 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-10-05T10:00:00.000+02:00,XAUUSD 120 bar#2351 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-10-05T10:00:00.000+02:00,XAUUSD 120 bar#2351 | waiting=true (Short)
2022-10-06T10:00:00.000+02:00,XAUUSD 120 bar#2363 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-10-06T16:00:00.000+02:00,XAUUSD 120 bar#2366 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-10-07T00:00:00.000+02:00,XAUUSD 120 bar#2370 | ADX BLOCK: chart=19 daily=28.5 threshold=20
2022-10-07T18:00:00.000+02:00,XAUUSD 120 bar#2379 | ADX PASS: chart=21 daily=28.5
2022-10-13T06:00:00.000+02:00,XAUUSD 120 bar#2421 | ADX BLOCK: chart=19.8 daily=23.8 threshold=20
2022-10-13T16:00:00.000+02:00,XAUUSD 120 bar#2426 | ADX PASS: chart=21.3 daily=23.8
2022-10-18T08:00:00.000+02:00,XAUUSD 120 bar#2458 | ADX BLOCK: chart=19.3 daily=23.8 threshold=20
2022-10-19T16:00:00.000+02:00,XAUUSD 120 bar#2474 | ADX PASS: chart=21.5 daily=23.8
2022-10-27T12:00:00.000+02:00,XAUUSD 120 bar#2544 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-10-27T12:00:00.000+02:00,XAUUSD 120 bar#2544 | waiting=true (Short)
2022-10-27T12:00:00.000+02:00,XAUUSD 120 bar#2544 | PENDING Short: entry=1659.05 sl=1664.95
2022-10-27T12:00:00.000+02:00,XAUUSD 120 bar#2544 | QTY CAPPED: 16.9475 → 6.0219 (equity=9990.56 lev=1)
2022-10-27T12:00:00.000+02:00,XAUUSD 120 bar#2544 | ENTRY Short: stop=1659.04 sl=1664.95 qty=6.0219
2022-10-27T14:00:00.000+02:00,"XAUUSD 120 bar#2545 | FILL: Position offen, trail_sl=1664.95"
2022-10-27T14:00:00.000+02:00,XAUUSD 120 bar#2545 | PARTIAL Short: 50%
2022-10-27T14:00:00.000+02:00,XAUUSD 120 bar#2545 | BREAKEVEN Short: sl=1659.05
2022-10-28T00:00:00.000+02:00,XAUUSD 120 bar#2550 | ADX BLOCK: chart=18.8 daily=21.3 threshold=20
2022-10-28T14:00:00.000+02:00,XAUUSD 120 bar#2557 | ADX PASS: chart=20.7 daily=21.3
2022-11-02T15:00:00.000+01:00,XAUUSD 120 bar#2594 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-11-02T15:00:00.000+01:00,XAUUSD 120 bar#2594 | waiting=true (Short)
2022-11-02T19:00:00.000+01:00,XAUUSD 120 bar#2596 | SETUP SHORT (htf_bearish + pullback + cross + session + ADX)
2022-11-03T19:00:00.000+01:00,XAUUSD 120 bar#2608 | ADX BLOCK: chart=19.8 daily=18.9 threshold=20
2022-11-03T21:00:00.000+01:00,XAUUSD 120 bar#2609 | Timeout: kein Fractal innerhalb 15 Kerzen
2022-11-04T07:00:00.000+01:00,XAUUSD 120 bar#2614 | ADX PASS: chart=21.2 daily=18.5
2022-11-24T06:00:00.000+01:00,XAUUSD 120 bar#2781 | ADX BLOCK: chart=18.9 daily=27.6 threshold=20
2022-12-01T12:00:00.000+01:00,XAUUSD 120 bar#2841 | ADX PASS: chart=20.6 daily=23
2022-12-12T16:00:00.000+01:00,XAUUSD 120 bar#2927 | ADX BLOCK: chart=19.9 daily=25.9 threshold=20
2022-12-12T20:00:00.000+01:00,XAUUSD 120 bar#2929 | ADX PASS: chart=20.1 daily=25.9
2022-12-13T02:00:00.000+01:00,XAUUSD 120 bar#2932 | ADX BLOCK: chart=19.2 daily=25.9 threshold=20
2022-12-13T16:00:00.000+01:00,XAUUSD 120 bar#2939 | ADX PASS: chart=21 daily=25.9
2022-12-20T04:00:00.000+01:00,XAUUSD 120 bar#2993 | ADX BLOCK: chart=19.9 daily=26.3 threshold=20
2022-12-20T08:00:00.000+01:00,XAUUSD 120 bar#2995 | ADX PASS: chart=20.3 daily=26.3
2022-12-28T20:00:00.000+01:00,XAUUSD 120 bar#3061 | ADX BLOCK: chart=19.8 daily=25.5 threshold=20
2022-12-29T18:00:00.000+01:00,XAUUSD 120 bar#3072 | ADX PASS: chart=20.3 daily=25.5
2023-01-12T08:00:00.000+01:00,XAUUSD 120 bar#3175 | ADX BLOCK: chart=19.2 daily=33.2 threshold=20
2023-01-19T22:00:00.000+01:00,XAUUSD 120 bar#3241 | ADX PASS: chart=20.7 daily=40.3
2023-01-23T20:00:00.000+01:00,XAUUSD 120 bar#3264 | ADX BLOCK: chart=19.9 daily=41 threshold=20
2023-01-25T06:00:00.000+01:00,XAUUSD 120 bar#3281 | ADX PASS: chart=20.4 daily=41
2023-01-26T02:00:00.000+01:00,XAUUSD 120 bar#3291 | ADX BLOCK: chart=19.7 daily=41.3 threshold=20
2023-01-30T10:00:00.000+01:00,XAUUSD 120 bar#3319 | ADX PASS: chart=20.2 daily=41.5
2023-01-30T10:00:00.000+01:00,XAUUSD 120 bar#3319 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-01-30T10:00:00.000+01:00,XAUUSD 120 bar#3319 | waiting=true (Long)
2023-01-31T14:00:00.000+01:00,XAUUSD 120 bar#3333 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-01-31T16:00:00.000+01:00,XAUUSD 120 bar#3334 | Timeout: kein Fractal innerhalb 15 Kerzen
2023-02-01T04:00:00.000+01:00,XAUUSD 120 bar#3340 | ADX BLOCK: chart=19.7 daily=39.8 threshold=20
2023-02-02T02:00:00.000+01:00,XAUUSD 120 bar#3351 | ADX PASS: chart=21.4 daily=39.3
2023-02-08T20:00:00.000+01:00,XAUUSD 120 bar#3408 | ADX BLOCK: chart=19.2 daily=32.9 threshold=20
2023-02-14T22:00:00.000+01:00,XAUUSD 120 bar#3457 | ADX PASS: chart=20.8 daily=28.4
2023-02-20T12:00:00.000+01:00,XAUUSD 120 bar#3500 | ADX BLOCK: chart=19.8 daily=29.6 threshold=20
2023-02-24T20:00:00.000+01:00,XAUUSD 120 bar#3551 | ADX PASS: chart=20.9 daily=32.1
2023-02-28T00:00:00.000+01:00,XAUUSD 120 bar#3565 | ADX BLOCK: chart=19.4 daily=34.4 threshold=20
2023-02-28T18:00:00.000+01:00,XAUUSD 120 bar#3574 | ADX PASS: chart=20.3 daily=34.4
2023-03-07T04:00:00.000+01:00,XAUUSD 120 bar#3627 | ADX BLOCK: chart=19.6 daily=28.1 threshold=20
2023-03-07T16:00:00.000+01:00,XAUUSD 120 bar#3633 | ADX PASS: chart=20.8 daily=28.1
2023-03-22T19:00:00.000+01:00,XAUUSD 120 bar#3767 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-03-22T19:00:00.000+01:00,XAUUSD 120 bar#3767 | waiting=true (Long)
2023-03-24T01:00:00.000+01:00,XAUUSD 120 bar#3782 | Timeout: kein Fractal innerhalb 15 Kerzen
2023-03-28T14:00:00.000+02:00,XAUUSD 120 bar#3812 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-03-28T14:00:00.000+02:00,XAUUSD 120 bar#3812 | waiting=true (Long)
2023-03-29T14:00:00.000+02:00,XAUUSD 120 bar#3824 | ADX BLOCK: chart=19.7 daily=33.3 threshold=20
2023-03-29T20:00:00.000+02:00,XAUUSD 120 bar#3827 | Timeout: kein Fractal innerhalb 15 Kerzen
2023-03-30T22:00:00.000+02:00,XAUUSD 120 bar#3840 | ADX PASS: chart=20.3 daily=32.4
2023-03-31T18:00:00.000+02:00,XAUUSD 120 bar#3850 | ADX BLOCK: chart=19.9 daily=32.4 threshold=20
2023-04-03T06:00:00.000+02:00,XAUUSD 120 bar#3856 | ADX PASS: chart=21.3 daily=32.2
2023-04-03T10:00:00.000+02:00,XAUUSD 120 bar#3858 | ADX BLOCK: chart=19.5 daily=32.2 threshold=20
2023-04-03T16:00:00.000+02:00,XAUUSD 120 bar#3861 | ADX PASS: chart=20.7 daily=32.2
2023-04-11T22:00:00.000+02:00,XAUUSD 120 bar#3924 | ADX BLOCK: chart=19.6 daily=29.1 threshold=20
2023-04-12T06:00:00.000+02:00,XAUUSD 120 bar#3928 | ADX PASS: chart=20.4 daily=29.1
2023-04-12T10:00:00.000+02:00,XAUUSD 120 bar#3930 | ADX BLOCK: chart=19.4 daily=29.1 threshold=20
2023-04-12T16:00:00.000+02:00,XAUUSD 120 bar#3933 | ADX PASS: chart=20.5 daily=29.1
2023-04-18T12:00:00.000+02:00,XAUUSD 120 bar#3979 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-04-18T12:00:00.000+02:00,XAUUSD 120 bar#3979 | waiting=true (Long)
2023-04-18T16:00:00.000+02:00,XAUUSD 120 bar#3981 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-04-19T18:00:00.000+02:00,XAUUSD 120 bar#3994 | Timeout: kein Fractal innerhalb 15 Kerzen
2023-04-20T10:00:00.000+02:00,XAUUSD 120 bar#4002 | ADX BLOCK: chart=19.2 daily=24.3 threshold=20
2023-04-21T14:00:00.000+02:00,XAUUSD 120 bar#4016 | ADX PASS: chart=21.5 daily=22.8
2023-04-24T18:00:00.000+02:00,XAUUSD 120 bar#4030 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-04-24T18:00:00.000+02:00,XAUUSD 120 bar#4030 | waiting=true (Long)
2023-04-25T08:00:00.000+02:00,XAUUSD 120 bar#4037 | ADX BLOCK: chart=19.6 daily=20.7 threshold=20
2023-04-26T00:00:00.000+02:00,XAUUSD 120 bar#4045 | Timeout: kein Fractal innerhalb 15 Kerzen
2023-05-02T16:00:00.000+02:00,XAUUSD 120 bar#4101 | ADX PASS: chart=22.1 daily=15.1
2023-05-08T16:00:00.000+02:00,XAUUSD 120 bar#4149 | SETUP LONG (htf_bullish + pullback + cross + session + ADX)
2023-05-08T16:00:00.000+02:00,XAUUSD 120 bar#4149 | waiting=true (Long)
2023-05-09T06:00:00.000+02:00,XAUUSD 120 bar#4156 | ADX BLOCK: chart=19.4 daily=17.4 threshold=20
